account_id,name,open_date,dormancy_flag,age_band,phone,address,kyc_date,known_suspicious,role
ACC-B001,Arya Seshadri,2025-04-22,False,18-25,+91-9379965075,"545, Majumdar Road, Hazaribagh-136783",2025-05-06,False,bridge
ACC-E001,Vritti Sem,2022-11-03,False,60+,+91-9014363495,"85, Setty Path, Farrukhabad-313518",2022-11-17,False,ring-exit
ACC-E002,Rehaan Kalita,2024-12-14,False,26-40,+91-9749894134,"408, Mahal Street, Meerut-271094",2025-01-12,False,ring-exit
ACC-F001,Ekaraj Narayanan,2021-05-06,False,26-40,+91-9951484656,"662, Mitra, Motihari 443699",2021-05-15,False,funnel-sender
ACC-F002,Udyati Sathe,2023-09-03,False,60+,+91-9738721489,"433, Bakshi Street, Sambalpur 917693",2023-09-24,False,funnel-sender
ACC-F003,Warda Ratta,2024-12-09,False,18-25,+91-9320163287,"H.No. 727, Nadig Circle, Pudukkottai 872774",2024-12-15,False,funnel-sender
ACC-F004,Aradhana Verma,2022-01-22,False,60+,+91-9734714345,"236, Kala Street, Vijayanagaram 587603",2022-03-01,False,funnel-sender
ACC-F005,Lopa Bahri,2023-02-13,False,41-60,+91-9967054668,"467, Ramachandran Nagar, Machilipatnam-729806",2023-03-14,False,funnel-sender
ACC-F006,Fiyaz Sangha,2020-01-27,False,18-25,+91-9272046537,"46, Bumb Road, Surat 531003",2020-02-20,False,funnel-sender
ACC-G0001,Ayush Gole,2020-05-15,False,41-60,+91-9445502296,"01/836, Setty Marg, Sangli-Miraj & Kupwad 459910",2020-05-22,False,background
ACC-G0002,Nakul Bawa,2024-05-15,False,41-60,+91-9147679764,"H.No. 61, Sur Road, Ranchi-690034",2024-06-11,False,background
ACC-G0003,Laksh Kumer,2025-05-16,False,41-60,+91-9451076226,"H.No. 606, Sharaf Nagar, Satara-966416",2025-06-14,False,background
ACC-G0004,Ekta Garg,2020-02-25,False,26-40,+91-9975161369,"45, Nath Ganj, Solapur-883552",2020-02-25,False,background
ACC-G0005,Harshil Dhingra,2024-10-19,False,26-40,+91-9432921277,"52/717, Mitter Chowk, Gudivada-581477",2024-11-05,False,background
ACC-G0006,Dakshesh Pillay,2022-04-09,False,26-40,+91-9411998679,"35/97, Dora Circle, Hospet 518203",2022-05-08,False,background
ACC-G0007,Reva Viswanathan,2026-01-18,False,60+,+91-9892554665,"H.No. 518, Mander Marg, Madanapalle 519254",2026-02-03,False,background
ACC-G0008,Kai Chad,2020-06-21,False,26-40,+91-9486528168,"H.No. 42, Om Ganj, Nellore 221418",2020-06-27,False,background
ACC-G0009,Gayathri Deep,2022-09-27,False,26-40,+91-9962229270,"37/947, Walla Ganj, Tirupati-359774",2022-10-09,False,background
ACC-G0010,Yadavi Wable,2024-05-15,False,18-25,+91-9623924075,"H.No. 12, Sengupta Road, Junagadh 375060",2024-06-17,False,background
ACC-G0011,Yadavi Prakash,2026-01-29,False,26-40,+91-9361530515,"H.No. 472, Sen Chowk, Vijayawada-432898",2026-02-05,False,background
ACC-G0012,Indrajit Mani,2022-01-06,False,41-60,+91-9341036971,"80/89, Dhawan Ganj, Haldia 953962",2022-01-25,False,background
ACC-G0013,Jalsa Bir,2023-05-27,True,60+,+91-9888880670,"H.No. 05, Pai Zila, Vasai-Virar-205852",2023-06-01,False,background
ACC-G0014,Varenya Gopal,2025-02-15,False,41-60,+91-9217043030,"68/74, Halder Nagar, Raurkela Industrial Township 541566",2025-03-21,False,background
ACC-G0015,Libni Nori,2024-09-03,False,26-40,+91-9277584161,"45/11, Merchant Path, Amroha-275705",2024-10-08,False,background
ACC-G0016,Anvi Bhandari,2024-03-26,False,60+,+91-9165820297,"H.No. 355, Bali Marg, Hospet 571928",2024-04-22,False,background
ACC-G0017,Mitali Murthy,2023-09-17,False,41-60,+91-9431027868,"H.No. 73, Mangal, Kollam 217271",2023-10-31,False,background
ACC-G0018,Idika Bhattacharyya,2023-10-31,False,26-40,+91-9884422583,"370, Pillay Path, Suryapet 911467",2023-12-12,False,background
ACC-G0019,Nimrat Borah,2021-11-24,False,26-40,+91-9251778528,"80, Vasa Zila, Avadi-253584",2021-12-01,False,background
ACC-G0020,Zashil Hegde,2023-04-22,False,26-40,+91-9842498182,"99/590, Bumb Nagar, Gangtok-396907",2023-05-29,False,background
ACC-G0021,Chasmum Subramanian,2019-11-16,False,26-40,+91-9364710276,"592, Nagar Path, Silchar-588153",2019-11-20,False,background
ACC-G0022,Jason Loke,2025-06-04,False,60+,+91-9732104696,"H.No. 95, Dutta Ganj, Kottayam-747016",2025-06-25,False,background
ACC-G0023,Wridesh Kale,2025-04-16,False,26-40,+91-9950047974,"24, Rau Path, Ranchi 098358",2025-05-17,False,background
ACC-G0024,Ethan Raju,2023-09-07,False,41-60,+91-9878499121,"H.No. 85, Issac Street, Orai-002578",2023-10-13,False,background
ACC-G0025,Manthan Varma,2020-10-13,False,26-40,+91-9259526949,"94/705, Choudhary Path, Ballia 097499",2020-11-08,False,background
ACC-G0026,Charan Srinivasan,2023-12-14,False,41-60,+91-9289623091,"56, Sachar Street, Bulandshahr-028385",2024-01-05,False,background
ACC-G0027,Krisha Murthy,2021-05-03,False,60+,+91-9278585497,"H.No. 84, Mishra Ganj, Dhule-575844",2021-05-06,False,background
ACC-G0028,Ladli Rana,2024-12-24,True,41-60,+91-9524041574,"848, Devan Road, Tadepalligudem-308330",2024-12-30,False,background
ACC-G0029,Odika Narayanan,2023-04-19,False,26-40,+91-9712082677,"H.No. 40, Kata Zila, Akola-206724",2023-04-27,False,background
ACC-G0030,Aditya Misra,2021-05-09,False,26-40,+91-9991547887,"H.No. 31, Gaba Path, Bardhaman-054932",2021-05-13,False,background
ACC-G0031,Prisha Varma,2021-02-11,False,60+,+91-9516122753,"37, Narayan Road, Ballia 453017",2021-02-17,False,background
ACC-G0032,Nathaniel Ravi,2025-07-08,False,26-40,+91-9841459332,"95, Sinha Marg, Shahjahanpur-878519",2025-07-08,False,background
ACC-G0033,David Tiwari,2025-01-14,False,60+,+91-9398225871,"H.No. 870, Deo Chowk, Sirsa-874064",2025-01-24,False,background
ACC-G0034,Tejas Bora,2021-07-12,False,18-25,+91-9065180170,"265, Sen Marg, Gandhinagar 825128",2021-08-06,False,background
ACC-G0035,Joshua Kapoor,2025-06-05,False,18-25,+91-9004786863,"H.No. 24, Chowdhury Ganj, Gurgaon-331190",2025-06-29,False,background
ACC-G0036,Chanakya Konda,2023-02-10,False,41-60,+91-9067383028,"95/995, Mittal Ganj, Saharsa 644089",2023-02-28,False,background
ACC-G0037,Prisha Tandon,2021-05-05,False,41-60,+91-9056856624,"73/34, Sheth Street, Kishanganj-688263",2021-06-09,False,background
ACC-G0038,Samar Narayanan,2020-08-17,False,26-40,+91-9175183046,"983, Joshi Chowk, Avadi 331739",2020-08-20,False,background
